t,I,u,I_nn,u_nn
3.69,149.21546894092566,0.22989128959447205,145.08269654285846,0.23557372
3.7,150.72499481282057,0.22759237666830562,146.5430401806126,0.23354092
3.71,152.24974543166593,0.2253164528713792,148.01805253742432,0.23153129
3.72,153.78987481267583,0.2230632883124406,149.50788257210476,0.22954503
3.73,155.34553852447453,0.22083265539907024,151.01268063651227,0.22758165
3.74,156.91689370481083,0.2186243288148518,152.5325984755537,0.2256407
3.75,158.50409907643007,0.21643808549645965,154.06778922718289,0.22372217
3.76,160.1073149631072,0.21427370461125017,155.61840742240187,0.22182587
3.77,161.726703305841,0.21213096753490573,157.18460898526035,0.219951
3.78,163.36242767921138,0.2100096578293047,158.76655123285587,0.21809815
3.79,165.01465330790265,0.207909561220777,160.36439287533278,0.21626642
3.8,166.6835470833923,0.20583046557831497,161.9782940158844,0.21445581
3.81,168.36927758080938,0.20377216089229466,163.60841615075086,0.21266572
3.82,170.0720150759615,0.20173443925311532,165.25492216922072,0.21089636
3.83,171.79193156253518,0.19971709483034455,166.91797635362997,0.20914732
3.84,173.52920076946836,0.1977199238517827,168.59774437936167,0.20741849
3.85,175.28399817849922,0.19574272458302294,170.29439331484778,0.20570913
3.86,177.05650104189115,0.1937852973069323,172.00809162156705,0.20401938
3.87,178.8468884003376,0.19184744430361877,173.73900915404653,0.20234926
3.88,180.65534110104633,0.18992896983032034,175.48735905149655,0.20069823
3.89,182.48204181600747,0.18802968010177076,177.25323059207446,0.19906597
3.9,184.32717506044457,0.18614938327048905,179.03683928444497,0.19745238
3.91,186.19092721145324,0.1842878894075357,180.83836055535937,0.19585745
3.92,188.0734865268263,0.1824450104831946,182.6579712246159,0.19428042
3.93,189.9750431640705,0.18062056034811222,184.49584950506187,0.19272137
3.94,191.89578919961374,0.1788143547143637,186.35217500259,0.19118032
3.95,193.83591864820724,0.17702621113696768,188.2271287161426,0.18965676
3.96,195.79562748252238,0.17525594899532912,190.12089303770964,0.18815038
3.97,197.77511365294663,0.1735033894751216,192.03365175232756,0.18666135
